Value,Identifier,Housing,Time Period
85.4,MV3B,Private commercial new work,Apr to June 2013
90.6,MV3B,Private commercial new work,July to Sept 2013
88.6,MV3B,Private commercial new work,Oct to Dec 2013
91.4,MV3B,Private commercial new work,Jan to Mar 2014
93.3,MV3B,Private commercial new work,Apr to June 2014
93,MV3B,Private commercial new work,July to Sept 2014
95.5,MV3B,Private commercial new work,Oct to Dec 2014
95,MV3B,Private commercial new work,Jan to Mar 2015
95.6,MV3B,Private commercial new work,Apr to June 2015
94.5,MV3B,Private commercial new work,July to Sept 2015
98.1,MV3B,Private commercial new work,Oct to Dec 2015
100.9,MV3B,Private commercial new work,Jan to Mar 2016
102.6,MV3B,Private commercial new work,Apr to June 2016
104.5,MV3B,Private commercial new work,July to Sept 2016
104.8,MV3B,Private commercial new work,Oct to Dec 2016
111.9,MV3B,Private commercial new work,Jan to Mar 2017
111.4,MV3B,Private commercial new work,Apr to June 2017
109.7,MV3B,Private commercial new work,July to Sept 2017
105.5,MV3B,Private commercial new work,Oct to Dec 2017
105.2,MV3B,Private commercial new work,Jan to Mar 2018
103.1,MV3B,Private commercial new work,Apr to June 2018
99,MV3B,Private commercial new work,July to Sept 2018
100.6,MV3B,Private commercial new work,Oct to Dec 2018
98.4,MV3B,Private commercial new work,Jan to Mar 2019
99.7,MV3B,Private commercial new work,Apr to June 2019
100.7,MV3B,Private commercial new work,July to Sept 2019
101.1,MV3B,Private commercial new work,Oct to Dec 2019
96.1,MV3B,Private commercial new work,Jan to Mar 2020
59.8,MV3B,Private commercial new work,Apr to June 2020
78,MV3B,Private commercial new work,July to Sept 2020
78.9,MV3B,Private commercial new work,Oct to Dec 2020
76.3,MV3B,Private commercial new work,Jan to Mar 2021
76.3,MV3B,Private commercial new work,Apr to June 2021
68.3,MV3B,Private commercial new work,July to Sept 2021
69.1,MV3B,Private commercial new work,Oct to Dec 2021
71,MV3B,Private commercial new work,Jan to Mar 2022
70,MV3B,Private commercial new work,Apr to Jun 2022
74,MV3B,Private commercial new work,Jul to Sep 2022
72.7,MV3B,Private commercial new work,Oct to Dec 2022
73.3,MV3B,Private commercial new work,Jan to Mar 2023
90.7,MV3B,Private commercial new work,Jan 2010
95,MV3B,Private commercial new work,Feb 2010
92.6,MV3B,Private commercial new work,Mar 2010
92.3,MV3B,Private commercial new work,Apr 2010
95.8,MV3B,Private commercial new work,May 2010
95.6,MV3B,Private commercial new work,Jun 2010
98.4,MV3B,Private commercial new work,Jul 2010
103.1,MV3B,Private commercial new work,Aug 2010
97.2,MV3B,Private commercial new work,Sep 2010
94.1,MV3B,Private commercial new work,Oct 2010
96.1,MV3B,Private commercial new work,Nov 2010
92.5,MV3B,Private commercial new work,Dec 2010
92.2,MV3B,Private commercial new work,Jan 2011
91.9,MV3B,Private commercial new work,Feb 2011
94.5,MV3B,Private commercial new work,Mar 2011
96.4,MV3B,Private commercial new work,Apr 2011
94.8,MV3B,Private commercial new work,May 2011
99.6,MV3B,Private commercial new work,Jun 2011
97.2,MV3B,Private commercial new work,Jul 2011
96.7,MV3B,Private commercial new work,Aug 2011
98.7,MV3B,Private commercial new work,Sep 2011
98,MV3B,Private commercial new work,Oct 2011
99.7,MV3B,Private commercial new work,Nov 2011
99.7,MV3B,Private commercial new work,Dec 2011
91.3,MV3B,Private commercial new work,Jan 2012
85,MV3B,Private commercial new work,Feb 2012
91.2,MV3B,Private commercial new work,Mar 2012
91.2,MV3B,Private commercial new work,Apr 2012
92.4,MV3B,Private commercial new work,May 2012
88.7,MV3B,Private commercial new work,Jun 2012
83.1,MV3B,Private commercial new work,Jul 2012
83,MV3B,Private commercial new work,Aug 2012
81.9,MV3B,Private commercial new work,Sep 2012
84.2,MV3B,Private commercial new work,Oct 2012
85,MV3B,Private commercial new work,Nov 2012
85.2,MV3B,Private commercial new work,Dec 2012
85.5,MV3B,Private commercial new work,Jan 2013
85.1,MV3B,Private commercial new work,Feb 2013
86.1,MV3B,Private commercial new work,Mar 2013
83.9,MV3B,Private commercial new work,Apr 2013
85.9,MV3B,Private commercial new work,May 2013
86.2,MV3B,Private commercial new work,Jun 2013
87.9,MV3B,Private commercial new work,Jul 2013
90.4,MV3B,Private commercial new work,Aug 2013
93.5,MV3B,Private commercial new work,Sep 2013
91,MV3B,Private commercial new work,Oct 2013
88.2,MV3B,Private commercial new work,Nov 2013
86.8,MV3B,Private commercial new work,Dec 2013
89.8,MV3B,Private commercial new work,Jan 2014
90.7,MV3B,Private commercial new work,Feb 2014
93.7,MV3B,Private commercial new work,Mar 2014
94.3,MV3B,Private commercial new work,Apr 2014
92.1,MV3B,Private commercial new work,May 2014
93.5,MV3B,Private commercial new work,Jun 2014
93.1,MV3B,Private commercial new work,Jul 2014
92.2,MV3B,Private commercial new work,Aug 2014
93.8,MV3B,Private commercial new work,Sep 2014
93.1,MV3B,Private commercial new work,Oct 2014
96.1,MV3B,Private commercial new work,Nov 2014
97.3,MV3B,Private commercial new work,Dec 2014
96.5,MV3B,Private commercial new work,Jan 2015
97,MV3B,Private commercial new work,Feb 2015
91.5,MV3B,Private commercial new work,Mar 2015
93.9,MV3B,Private commercial new work,Apr 2015
94.3,MV3B,Private commercial new work,May 2015
98.5,MV3B,Private commercial new work,Jun 2015
95.5,MV3B,Private commercial new work,Jul 2015
95.1,MV3B,Private commercial new work,Aug 2015
92.8,MV3B,Private commercial new work,Sep 2015
98.4,MV3B,Private commercial new work,Oct 2015
98.4,MV3B,Private commercial new work,Nov 2015
97.5,MV3B,Private commercial new work,Dec 2015
103.2,MV3B,Private commercial new work,Jan 2016
100.2,MV3B,Private commercial new work,Feb 2016
99.4,MV3B,Private commercial new work,Mar 2016
101.1,MV3B,Private commercial new work,Apr 2016
102.8,MV3B,Private commercial new work,May 2016
103.8,MV3B,Private commercial new work,Jun 2016
104.1,MV3B,Private commercial new work,Jul 2016
104.2,MV3B,Private commercial new work,Aug 2016
105.1,MV3B,Private commercial new work,Sep 2016
104.3,MV3B,Private commercial new work,Oct 2016
103.1,MV3B,Private commercial new work,Nov 2016
107.1,MV3B,Private commercial new work,Dec 2016
109.8,MV3B,Private commercial new work,Jan 2017
113.5,MV3B,Private commercial new work,Feb 2017
112.4,MV3B,Private commercial new work,Mar 2017
112.4,MV3B,Private commercial new work,Apr 2017
111.7,MV3B,Private commercial new work,May 2017
110.1,MV3B,Private commercial new work,Jun 2017
109.3,MV3B,Private commercial new work,Jul 2017
111.5,MV3B,Private commercial new work,Aug 2017
108.2,MV3B,Private commercial new work,Sep 2017
104.8,MV3B,Private commercial new work,Oct 2017
105.6,MV3B,Private commercial new work,Nov 2017
106.2,MV3B,Private commercial new work,Dec 2017
107.1,MV3B,Private commercial new work,Jan 2018
105.8,MV3B,Private commercial new work,Feb 2018
102.5,MV3B,Private commercial new work,Mar 2018
103.3,MV3B,Private commercial new work,Apr 2018
104.3,MV3B,Private commercial new work,May 2018
101.8,MV3B,Private commercial new work,Jun 2018
100.1,MV3B,Private commercial new work,Jul 2018
98.6,MV3B,Private commercial new work,Aug 2018
98.4,MV3B,Private commercial new work,Sep 2018
100.1,MV3B,Private commercial new work,Oct 2018
101.8,MV3B,Private commercial new work,Nov 2018
99.8,MV3B,Private commercial new work,Dec 2018
95.6,MV3B,Private commercial new work,Jan 2019
98.6,MV3B,Private commercial new work,Feb 2019
101.1,MV3B,Private commercial new work,Mar 2019
100.4,MV3B,Private commercial new work,Apr 2019
99.1,MV3B,Private commercial new work,May 2019
99.6,MV3B,Private commercial new work,Jun 2019
100.1,MV3B,Private commercial new work,Jul 2019
101.5,MV3B,Private commercial new work,Aug 2019
100.7,MV3B,Private commercial new work,Sep 2019
100.9,MV3B,Private commercial new work,Oct 2019
100.2,MV3B,Private commercial new work,Nov 2019
102.1,MV3B,Private commercial new work,Dec 2019
99.1,MV3B,Private commercial new work,Jan 2020
99,MV3B,Private commercial new work,Feb 2020
90,MV3B,Private commercial new work,Mar 2020
53,MV3B,Private commercial new work,Apr 2020
56.7,MV3B,Private commercial new work,May 2020
69.8,MV3B,Private commercial new work,Jun 2020
77.3,MV3B,Private commercial new work,Jul 2020
75.1,MV3B,Private commercial new work,Aug 2020
81.6,MV3B,Private commercial new work,Sep 2020
80.8,MV3B,Private commercial new work,Oct 2020
81,MV3B,Private commercial new work,Nov 2020
74.9,MV3B,Private commercial new work,Dec 2020
74.3,MV3B,Private commercial new work,Jan 2021
77.9,MV3B,Private commercial new work,Feb 2021
76.7,MV3B,Private commercial new work,Mar 2021
79.2,MV3B,Private commercial new work,Apr 2021
74.5,MV3B,Private commercial new work,May 2021
75.1,MV3B,Private commercial new work,Jun 2021
70.7,MV3B,Private commercial new work,Jul 2021
66.8,MV3B,Private commercial new work,Aug 2021
67.3,MV3B,Private commercial new work,Sep 2021
69.4,MV3B,Private commercial new work,Oct 2021
69.1,MV3B,Private commercial new work,Nov 2021
68.8,MV3B,Private commercial new work,Dec 2021
71,MV3B,Private commercial new work,Jan 2022
70.3,MV3B,Private commercial new work,Feb 2022
71.6,MV3B,Private commercial new work,Mar 2022
67.3,MV3B,Private commercial new work,Apr 2022
73.1,MV3B,Private commercial new work,May 2022
69.7,MV3B,Private commercial new work,Jun 2022
74.2,MV3B,Private commercial new work,Jul 2022
73.8,MV3B,Private commercial new work,Aug 2022
73.9,MV3B,Private commercial new work,Sep 2022
72.6,MV3B,Private commercial new work,Oct 2022
72.2,MV3B,Private commercial new work,Nov 2022
73.4,MV3B,Private commercial new work,Dec 2022
72.3,MV3B,Private commercial new work,Jan 2023
73.8,MV3B,Private commercial new work,Feb 2023
73.7,MV3B,Private commercial new work,Mar 2023
72.4,MV3B,Private commercial new work,Apr 2023
65.2,MV3C,All new work,1998
67.2,MV3C,All new work,1999
67.3,MV3C,All new work,2000
67.2,MV3C,All new work,2001
71.4,MV3C,All new work,2002
75.6,MV3C,All new work,2003
82.8,MV3C,All new work,2004
80.4,MV3C,All new work,2005
82.5,MV3C,All new work,2006
85.4,MV3C,All new work,2007
80.9,MV3C,All new work,2008
68.5,MV3C,All new work,2009
79.6,MV3C,All new work,2010
80.4,MV3C,All new work,2011
71.9,MV3C,All new work,2012
72.9,MV3C,All new work,2013
81.3,MV3C,All new work,2014
86.5,MV3C,All new work,2015
91.4,MV3C,All new work,2016
98,MV3C,All new work,2017
97.5,MV3C,All new work,2018
100,MV3C,All new work,2019
83.4,MV3C,All new work,2020
92,MV3C,All new work,2021
96.1,MV3C,All new work,2022
62.3,MV3C,All new work,Jan to Mar 1997
64.1,MV3C,All new work,Apr to June 1997
63.6,MV3C,All new work,July to Sept 1997
64.2,MV3C,All new work,Oct to Dec 1997
65,MV3C,All new work,Jan to Mar 1998
64.5,MV3C,All new work,Apr to June 1998
65.9,MV3C,All new work,July to Sept 1998
65.6,MV3C,All new work,Oct to Dec 1998
66.7,MV3C,All new work,Jan to Mar 1999
66.5,MV3C,All new work,Apr to June 1999
68.2,MV3C,All new work,July to Sept 1999
67.2,MV3C,All new work,Oct to Dec 1999
68.1,MV3C,All new work,Jan to Mar 2000
67.9,MV3C,All new work,Apr to June 2000
66.2,MV3C,All new work,July to Sept 2000
66.9,MV3C,All new work,Oct to Dec 2000
65.5,MV3C,All new work,Jan to Mar 2001
67.2,MV3C,All new work,Apr to June 2001
67.8,MV3C,All new work,July to Sept 2001
68.4,MV3C,All new work,Oct to Dec 2001
69.3,MV3C,All new work,Jan to Mar 2002
69.7,MV3C,All new work,Apr to June 2002
73.1,MV3C,All new work,July to Sept 2002
73.4,MV3C,All new work,Oct to Dec 2002
73,MV3C,All new work,Jan to Mar 2003
73.6,MV3C,All new work,Apr to June 2003
75.9,MV3C,All new work,July to Sept 2003
80.1,MV3C,All new work,Oct to Dec 2003
83,MV3C,All new work,Jan to Mar 2004
83.7,MV3C,All new work,Apr to June 2004
83.1,MV3C,All new work,July to Sept 2004
81.5,MV3C,All new work,Oct to Dec 2004
80.9,MV3C,All new work,Jan to Mar 2005
80.9,MV3C,All new work,Apr to June 2005
79.7,MV3C,All new work,July to Sept 2005
80.1,MV3C,All new work,Oct to Dec 2005
81.3,MV3C,All new work,Jan to Mar 2006
81.4,MV3C,All new work,Apr to June 2006
82.9,MV3C,All new work,July to Sept 2006
84.5,MV3C,All new work,Oct to Dec 2006
85.4,MV3C,All new work,Jan to Mar 2007
85.8,MV3C,All new work,Apr to June 2007
85.1,MV3C,All new work,July to Sept 2007
85.4,MV3C,All new work,Oct to Dec 2007
85.9,MV3C,All new work,Jan to Mar 2008
82.6,MV3C,All new work,Apr to June 2008
80.7,MV3C,All new work,July to Sept 2008
74.2,MV3C,All new work,Oct to Dec 2008
68.9,MV3C,All new work,Jan to Mar 2009
68.2,MV3C,All new work,Apr to June 2009
67.2,MV3C,All new work,July to Sept 2009
69.7,MV3C,All new work,Oct to Dec 2009
77,MV3C,All new work,Jan to Mar 2010
80.3,MV3C,All new work,Apr to June 2010
82.3,MV3C,All new work,July to Sept 2010
78.9,MV3C,All new work,Oct to Dec 2010
81,MV3C,All new work,Jan to Mar 2011
82,MV3C,All new work,Apr to June 2011
79.6,MV3C,All new work,July to Sept 2011
78.9,MV3C,All new work,Oct to Dec 2011
74.4,MV3C,All new work,Jan to Mar 2012
72.1,MV3C,All new work,Apr to June 2012
69.9,MV3C,All new work,July to Sept 2012
71.1,MV3C,All new work,Oct to Dec 2012
70.6,MV3C,All new work,Jan to Mar 2013
71.7,MV3C,All new work,Apr to June 2013
73.8,MV3C,All new work,July to Sept 2013
75.4,MV3C,All new work,Oct to Dec 2013
78.2,MV3C,All new work,Jan to Mar 2014
80.9,MV3C,All new work,Apr to June 2014
82.2,MV3C,All new work,July to Sept 2014
83.9,MV3C,All new work,Oct to Dec 2014
85.9,MV3C,All new work,Jan to Mar 2015
87.4,MV3C,All new work,Apr to June 2015
85.3,MV3C,All new work,July to Sept 2015
87.5,MV3C,All new work,Oct to Dec 2015
89.3,MV3C,All new work,Jan to Mar 2016
91,MV3C,All new work,Apr to June 2016
92,MV3C,All new work,July to Sept 2016
93.2,MV3C,All new work,Oct to Dec 2016
97.8,MV3C,All new work,Jan to Mar 2017
97.9,MV3C,All new work,Apr to June 2017
97.5,MV3C,All new work,July to Sept 2017
98.7,MV3C,All new work,Oct to Dec 2017
97.3,MV3C,All new work,Jan to Mar 2018
96.2,MV3C,All new work,Apr to June 2018
97.4,MV3C,All new work,July to Sept 2018
99,MV3C,All new work,Oct to Dec 2018
100.1,MV3C,All new work,Jan to Mar 2019
99.4,MV3C,All new work,Apr to June 2019
100.8,MV3C,All new work,July to Sept 2019
99.7,MV3C,All new work,Oct to Dec 2019
97.9,MV3C,All new work,Jan to Mar 2020
61.2,MV3C,All new work,Apr to June 2020
85.2,MV3C,All new work,July to Sept 2020
89.3,MV3C,All new work,Oct to Dec 2020
90,MV3C,All new work,Jan to Mar 2021
93.8,MV3C,All new work,Apr to June 2021
92,MV3C,All new work,July to Sept 2021
92.3,MV3C,All new work,Oct to Dec 2021
93.9,MV3C,All new work,Jan to Mar 2022
95.6,MV3C,All new work,Apr to Jun 2022
96.6,MV3C,All new work,Jul to Sep 2022
98.1,MV3C,All new work,Oct to Dec 2022
96.3,MV3C,All new work,Jan to Mar 2023
73.6,MV3C,All new work,Jan 2010
78,MV3C,All new work,Feb 2010
79.3,MV3C,All new work,Mar 2010
79.2,MV3C,All new work,Apr 2010
80.9,MV3C,All new work,May 2010
80.8,MV3C,All new work,Jun 2010
81.3,MV3C,All new work,Jul 2010
84.5,MV3C,All new work,Aug 2010
81.2,MV3C,All new work,Sep 2010
80.5,MV3C,All new work,Oct 2010
80.3,MV3C,All new work,Nov 2010
75.9,MV3C,All new work,Dec 2010
80.3,MV3C,All new work,Jan 2011
81.3,MV3C,All new work,Feb 2011
81.5,MV3C,All new work,Mar 2011
81.8,MV3C,All new work,Apr 2011
81.1,MV3C,All new work,May 2011
83.2,MV3C,All new work,Jun 2011
80.7,MV3C,All new work,Jul 2011
78.9,MV3C,All new work,Aug 2011
79.2,MV3C,All new work,Sep 2011
76.7,MV3C,All new work,Oct 2011
78.6,MV3C,All new work,Nov 2011
81.5,MV3C,All new work,Dec 2011
76.8,MV3C,All new work,Jan 2012
72.2,MV3C,All new work,Feb 2012
74.3,MV3C,All new work,Mar 2012
73,MV3C,All new work,Apr 2012
73.1,MV3C,All new work,May 2012
70.2,MV3C,All new work,Jun 2012
68.9,MV3C,All new work,Jul 2012
70.2,MV3C,All new work,Aug 2012
70.6,MV3C,All new work,Sep 2012
71.3,MV3C,All new work,Oct 2012
71.4,MV3C,All new work,Nov 2012
70.5,MV3C,All new work,Dec 2012
69.2,MV3C,All new work,Jan 2013
71.4,MV3C,All new work,Feb 2013
71.1,MV3C,All new work,Mar 2013
70,MV3C,All new work,Apr 2013
71.7,MV3C,All new work,May 2013
73.3,MV3C,All new work,Jun 2013
72.6,MV3C,All new work,Jul 2013
74.5,MV3C,All new work,Aug 2013
74.3,MV3C,All new work,Sep 2013
75.9,MV3C,All new work,Oct 2013
74.7,MV3C,All new work,Nov 2013
75.5,MV3C,All new work,Dec 2013
77.9,MV3C,All new work,Jan 2014
77.7,MV3C,All new work,Feb 2014
78.9,MV3C,All new work,Mar 2014
80.8,MV3C,All new work,Apr 2014
80.5,MV3C,All new work,May 2014
81.3,MV3C,All new work,Jun 2014
81.6,MV3C,All new work,Jul 2014
82.2,MV3C,All new work,Aug 2014
83,MV3C,All new work,Sep 2014
82.9,MV3C,All new work,Oct 2014
84.5,MV3C,All new work,Nov 2014
84.2,MV3C,All new work,Dec 2014
86.2,MV3C,All new work,Jan 2015
86.2,MV3C,All new work,Feb 2015
85.4,MV3C,All new work,Mar 2015
88.2,MV3C,All new work,Apr 2015
87.1,MV3C,All new work,May 2015
86.8,MV3C,All new work,Jun 2015
86.1,MV3C,All new work,Jul 2015
85.2,MV3C,All new work,Aug 2015
84.5,MV3C,All new work,Sep 2015
86.5,MV3C,All new work,Oct 2015
85.6,MV3C,All new work,Nov 2015
90.3,MV3C,All new work,Dec 2015
89.1,MV3C,All new work,Jan 2016
88.8,MV3C,All new work,Feb 2016
90,MV3C,All new work,Mar 2016
90.8,MV3C,All new work,Apr 2016
91.4,MV3C,All new work,May 2016
90.8,MV3C,All new work,Jun 2016
91.8,MV3C,All new work,Jul 2016
91.9,MV3C,All new work,Aug 2016
92.4,MV3C,All new work,Sep 2016
91.6,MV3C,All new work,Oct 2016
92.2,MV3C,All new work,Nov 2016
95.8,MV3C,All new work,Dec 2016
97.8,MV3C,All new work,Jan 2017
97.4,MV3C,All new work,Feb 2017
98.2,MV3C,All new work,Mar 2017
98.2,MV3C,All new work,Apr 2017
97.3,MV3C,All new work,May 2017
98.1,MV3C,All new work,Jun 2017
96.2,MV3C,All new work,Jul 2017
99.1,MV3C,All new work,Aug 2017
97.3,MV3C,All new work,Sep 2017
95.5,MV3C,All new work,Oct 2017
97.7,MV3C,All new work,Nov 2017
102.9,MV3C,All new work,Dec 2017
98.1,MV3C,All new work,Jan 2018
98.3,MV3C,All new work,Feb 2018
95.5,MV3C,All new work,Mar 2018
95.2,MV3C,All new work,Apr 2018
96.3,MV3C,All new work,May 2018
97.1,MV3C,All new work,Jun 2018
97.9,MV3C,All new work,Jul 2018
96.5,MV3C,All new work,Aug 2018
97.8,MV3C,All new work,Sep 2018
99.4,MV3C,All new work,Oct 2018
99.3,MV3C,All new work,Nov 2018
98.2,MV3C,All new work,Dec 2018
98.7,MV3C,All new work,Jan 2019
101.6,MV3C,All new work,Feb 2019
100,MV3C,All new work,Mar 2019
99.4,MV3C,All new work,Apr 2019
99.7,MV3C,All new work,May 2019
99.2,MV3C,All new work,Jun 2019
99.9,MV3C,All new work,Jul 2019
100.7,MV3C,All new work,Aug 2019
101.7,MV3C,All new work,Sep 2019
99.2,MV3C,All new work,Oct 2019
99.8,MV3C,All new work,Nov 2019
100.2,MV3C,All new work,Dec 2019
101.7,MV3C,All new work,Jan 2020
98.9,MV3C,All new work,Feb 2020
93,MV3C,All new work,Mar 2020
52.9,MV3C,All new work,Apr 2020
60.4,MV3C,All new work,May 2020
70.3,MV3C,All new work,Jun 2020
82.4,MV3C,All new work,Jul 2020
85.5,MV3C,All new work,Aug 2020
87.8,MV3C,All new work,Sep 2020
89,MV3C,All new work,Oct 2020
90.6,MV3C,All new work,Nov 2020
88.3,MV3C,All new work,Dec 2020
87.2,MV3C,All new work,Jan 2021
90.1,MV3C,All new work,Feb 2021
92.6,MV3C,All new work,Mar 2021
94.3,MV3C,All new work,Apr 2021
93.6,MV3C,All new work,May 2021
93.6,MV3C,All new work,Jun 2021
92.8,MV3C,All new work,Jul 2021
91.7,MV3C,All new work,Aug 2021
91.4,MV3C,All new work,Sep 2021
90.4,MV3C,All new work,Oct 2021
92.7,MV3C,All new work,Nov 2021
93.8,MV3C,All new work,Dec 2021
93.8,MV3C,All new work,Jan 2022
93.6,MV3C,All new work,Feb 2022
94.4,MV3C,All new work,Mar 2022
95.5,MV3C,All new work,Apr 2022
96.9,MV3C,All new work,May 2022
94.4,MV3C,All new work,Jun 2022
95.8,MV3C,All new work,Jul 2022
97.1,MV3C,All new work,Aug 2022
97,MV3C,All new work,Sep 2022
97.3,MV3C,All new work,Oct 2022
98,MV3C,All new work,Nov 2022
99.1,MV3C,All new work,Dec 2022
95.3,MV3C,All new work,Jan 2023
96.4,MV3C,All new work,Feb 2023
97.1,MV3C,All new work,Mar 2023
96.1,MV3C,All new work,Apr 2023
116,MV3D,Public housing R&M,1998
111.2,MV3D,Public housing R&M,1999
107.6,MV3D,Public housing R&M,2000
101.8,MV3D,Public housing R&M,2001
96.6,MV3D,Public housing R&M,2002
109.2,MV3D,Public housing R&M,2003
119.8,MV3D,Public housing R&M,2004
119.1,MV3D,Public housing R&M,2005
113.9,MV3D,Public housing R&M,2006
108,MV3D,Public housing R&M,2007
111.1,MV3D,Public housing R&M,2008
108.1,MV3D,Public housing R&M,2009
117.4,MV3D,Public housing R&M,2010
107.5,MV3D,Public housing R&M,2011
110.6,MV3D,Public housing R&M,2012
106.8,MV3D,Public housing R&M,2013
110.6,MV3D,Public housing R&M,2014
111.9,MV3D,Public housing R&M,2015
106.5,MV3D,Public housing R&M,2016
103.6,MV3D,Public housing R&M,2017
99.5,MV3D,Public housing R&M,2018
100,MV3D,Public housing R&M,2019
83,MV3D,Public housing R&M,2020
87.8,MV3D,Public housing R&M,2021
86.4,MV3D,Public housing R&M,2022
124.4,MV3D,Public housing R&M,Jan to Mar 1997
130.5,MV3D,Public housing R&M,Apr to June 1997
120.9,MV3D,Public housing R&M,July to Sept 1997
120.8,MV3D,Public housing R&M,Oct to Dec 1997
121.3,MV3D,Public housing R&M,Jan to Mar 1998
110,MV3D,Public housing R&M,Apr to June 1998
114.5,MV3D,Public housing R&M,July to Sept 1998
118.1,MV3D,Public housing R&M,Oct to Dec 1998
110.5,MV3D,Public housing R&M,Jan to Mar 1999
111.5,MV3D,Public housing R&M,Apr to June 1999
112.2,MV3D,Public housing R&M,July to Sept 1999
110.7,MV3D,Public housing R&M,Oct to Dec 1999
114.4,MV3D,Public housing R&M,Jan to Mar 2000
111.3,MV3D,Public housing R&M,Apr to June 2000
105.6,MV3D,Public housing R&M,July to Sept 2000
99.3,MV3D,Public housing R&M,Oct to Dec 2000
102.5,MV3D,Public housing R&M,Jan to Mar 2001
103.8,MV3D,Public housing R&M,Apr to June 2001
99.1,MV3D,Public housing R&M,July to Sept 2001
101.8,MV3D,Public housing R&M,Oct to Dec 2001
98,MV3D,Public housing R&M,Jan to Mar 2002
95.8,MV3D,Public housing R&M,Apr to June 2002
94.5,MV3D,Public housing R&M,July to Sept 2002
98.1,MV3D,Public housing R&M,Oct to Dec 2002
96.5,MV3D,Public housing R&M,Jan to Mar 2003
107.4,MV3D,Public housing R&M,Apr to June 2003
118.3,MV3D,Public housing R&M,July to Sept 2003
114.5,MV3D,Public housing R&M,Oct to Dec 2003
122.7,MV3D,Public housing R&M,Jan to Mar 2004
118.8,MV3D,Public housing R&M,Apr to June 2004
116.8,MV3D,Public housing R&M,July to Sept 2004
121,MV3D,Public housing R&M,Oct to Dec 2004
126.4,MV3D,Public housing R&M,Jan to Mar 2005
125.7,MV3D,Public housing R&M,Apr to June 2005
113,MV3D,Public housing R&M,July to Sept 2005
111.3,MV3D,Public housing R&M,Oct to Dec 2005
111.7,MV3D,Public housing R&M,Jan to Mar 2006
110.7,MV3D,Public housing R&M,Apr to June 2006
117.9,MV3D,Public housing R&M,July to Sept 2006
115.5,MV3D,Public housing R&M,Oct to Dec 2006
115,MV3D,Public housing R&M,Jan to Mar 2007
106.7,MV3D,Public housing R&M,Apr to June 2007
102.8,MV3D,Public housing R&M,July to Sept 2007
107.3,MV3D,Public housing R&M,Oct to Dec 2007
107.7,MV3D,Public housing R&M,Jan to Mar 2008
114.8,MV3D,Public housing R&M,Apr to June 2008
112.4,MV3D,Public housing R&M,July to Sept 2008
109.5,MV3D,Public housing R&M,Oct to Dec 2008
102.2,MV3D,Public housing R&M,Jan to Mar 2009
106.5,MV3D,Public housing R&M,Apr to June 2009
114.2,MV3D,Public housing R&M,July to Sept 2009
109.4,MV3D,Public housing R&M,Oct to Dec 2009
117.6,MV3D,Public housing R&M,Jan to Mar 2010
120.6,MV3D,Public housing R&M,Apr to June 2010
116.9,MV3D,Public housing R&M,July to Sept 2010
114.4,MV3D,Public housing R&M,Oct to Dec 2010
109.3,MV3D,Public housing R&M,Jan to Mar 2011
108.8,MV3D,Public housing R&M,Apr to June 2011
105.3,MV3D,Public housing R&M,July to Sept 2011
106.3,MV3D,Public housing R&M,Oct to Dec 2011
106.8,MV3D,Public housing R&M,Jan to Mar 2012
110,MV3D,Public housing R&M,Apr to June 2012
113.1,MV3D,Public housing R&M,July to Sept 2012
112.6,MV3D,Public housing R&M,Oct to Dec 2012
108.2,MV3D,Public housing R&M,Jan to Mar 2013
106,MV3D,Public housing R&M,Apr to June 2013
105.1,MV3D,Public housing R&M,July to Sept 2013
107.9,MV3D,Public housing R&M,Oct to Dec 2013
109.1,MV3D,Public housing R&M,Jan to Mar 2014
110.3,MV3D,Public housing R&M,Apr to June 2014
112,MV3D,Public housing R&M,July to Sept 2014
111,MV3D,Public housing R&M,Oct to Dec 2014
112.7,MV3D,Public housing R&M,Jan to Mar 2015
111.9,MV3D,Public housing R&M,Apr to June 2015
112.9,MV3D,Public housing R&M,July to Sept 2015
110,MV3D,Public housing R&M,Oct to Dec 2015
111.7,MV3D,Public housing R&M,Jan to Mar 2016
108.4,MV3D,Public housing R&M,Apr to June 2016
102,MV3D,Public housing R&M,July to Sept 2016
103.8,MV3D,Public housing R&M,Oct to Dec 2016
103.3,MV3D,Public housing R&M,Jan to Mar 2017
104.7,MV3D,Public housing R&M,Apr to June 2017
103.7,MV3D,Public housing R&M,July to Sept 2017
102.8,MV3D,Public housing R&M,Oct to Dec 2017
100.4,MV3D,Public housing R&M,Jan to Mar 2018
101,MV3D,Public housing R&M,Apr to June 2018
99.5,MV3D,Public housing R&M,July to Sept 2018
97.2,MV3D,Public housing R&M,Oct to Dec 2018
97.5,MV3D,Public housing R&M,Jan to Mar 2019
98.2,MV3D,Public housing R&M,Apr to June 2019
101.4,MV3D,Public housing R&M,July to Sept 2019
103,MV3D,Public housing R&M,Oct to Dec 2019
105,MV3D,Public housing R&M,Jan to Mar 2020
53.5,MV3D,Public housing R&M,Apr to June 2020
81.2,MV3D,Public housing R&M,July to Sept 2020
92.2,MV3D,Public housing R&M,Oct to Dec 2020
89.7,MV3D,Public housing R&M,Jan to Mar 2021
88,MV3D,Public housing R&M,Apr to June 2021
86.7,MV3D,Public housing R&M,July to Sept 2021
86.9,MV3D,Public housing R&M,Oct to Dec 2021
